common_name,train_count,test_count,total_count
Black Butcherbird,4,0,4
Black Caracara,3,0,3
Black Catbird,2,0,2
Black Cherrynose,2,0,2
Black Cicadabird,1,0,1
Black Crake,2,0,2
Black Cuckoo,10,19,29
Black Cuckoo-shrike,1,0,1
Black Currawong,1,0,1
Black Drongo,24,18,42
Black Field Cricket,6,0,6
Black Firetail,7,0,7
Black Flowerpiercer,5,0,5
Black Flying-fox,1,0,1
Black Francolin,3,0,3
Black Friday,2,0,2
Black Giant Cicada,24,11,35
Black Goshawk,5,0,5
Black Guillemot,1,0,1
Black Hawk-Eagle,9,0,9
Black Howler,2,0,2
Black Jungle-Frog,13,15,28
Black Kite,46,27,73
Black Magpie,2,0,2
Black Manakin,1,0,1
Black Metaltail,1,0,1
Black Nunbird,2,0,2
Black Oystercatcher,9,8,17
Black Phoebe,136,65,201
Black Prince,365,74,439
Black Rail,27,17,44
Black Rain Frog,9,0,9
Black Redstart,198,100,298
Black Scoter,2,0,2
Black Shama,1,0,1
Black Skimmer,7,0,7
Black Soldier Fly,1,0,1
Black Sorrow Cicada,4,0,4
Black Squeaker,70,8,78
Black Swan,4,0,4
Black Tern,8,5,13
Black Thicket-Fantail,1,0,1
Black Thrush,4,0,4
Black Titi,1,0,1
Black Tree-ticker,8,7,15
Black Turnstone,2,0,2
Black Vulture,6,0,6
Black Wheatear,1,0,1
Black Woodpecker,291,100,391
Black and scarlet cicada,2,0,2
Black capuchin,9,0,9
Black-and-chestnut Eagle,1,0,1
Black-and-chestnut Warbling-Finch (Black-and-chestnut),1,0,1
Black-and-gold Cotinga,1,0,1
Black-and-gold Tanager,1,0,1
Black-and-orange Flycatcher,1,0,1
Black-and-red Broadbill,1,0,1
Black-and-rufous Warbling-Finch,12,7,19
Black-and-white Antbird,1,0,1
Black-and-white Owl,5,0,5
Black-and-white Seedeater,1,0,1
Black-and-white Tody-Flycatcher,1,0,1
Black-and-white Warbler,233,100,333
Black-and-white-casqued Hornbill,1,0,1
Black-and-yellow Mud-dauber Wasp,2,0,2
Black-backed Grosbeak,5,0,5
Black-backed Honeyeater,1,0,1
Black-backed Jackal,2,0,2
Black-backed Oriole,5,0,5
Black-backed Puffback,13,0,13
Black-backed Tody-Flycatcher,1,0,1
Black-backed Wood Quail,1,0,1
Black-backed Woodpecker,16,5,21
Black-banded Barbet,3,0,3
Black-banded Crake,2,0,2
Black-banded Owl,6,0,6
Black-banded Woodcreeper,2,0,2
Black-bearded Saki,1,0,1
Black-bellied Bustard,5,0,5
Black-bellied Plover,7,10,17
Black-bellied Seedeater,1,0,1
Black-bellied Starling,2,0,2
Black-bellied Whistling-Duck,47,46,93
Black-bellied Wren,4,0,4
Black-billed Cuckoo,93,23,116
Black-billed Flycatcher,1,0,1
Black-billed Gull,1,0,1
Black-billed Magpie,54,79,133
Black-billed Mountain-Toucan,2,0,2
Black-billed Peppershrike,4,0,4
Black-billed Scythebill,3,0,3
Black-billed Thrush,10,0,10
Black-billed Treehunter,3,0,3
Black-bodied Woodpecker,1,0,1
Black-browed Barbet,1,0,1
Black-browed Reed Warbler,5,0,5
Black-capped Antwren,2,0,2
Black-capped Becard,2,0,2
Black-capped Chickadee,1000,100,1100
Black-capped Donacobius,2,0,2
Black-capped Foliage-gleaner,1,0,1
Black-capped Gnatcatcher,4,0,4
Black-capped Hemispingus,1,0,1
Black-capped Piprites,1,0,1
Black-capped Pygmy-Tyrant,1,0,1
Black-capped Rufous-Warbler,1,0,1
Black-capped Screech-Owl,4,0,4
Black-capped Tinamou,1,0,1
Black-capped Vireo,27,20,47
Black-capped Warbling-Finch,2,0,2
Black-casqued Hornbill,1,0,1
Black-cheeked Gnateater,5,0,5
Black-cheeked Waxbill,2,0,2
Black-chested Buzzard-Eagle,2,0,2
Black-chested Jay,6,0,6
Black-chested Prinia,1,0,1
Black-chested Sparrow,1,0,1
Black-chinned Hummingbird,2,0,2
Black-chinned Mountain-Tanager,1,0,1
Black-chinned Siskin,10,0,10
Black-chinned Sparrow,24,16,40
Black-collared Barbet,2,0,2
Black-collared Jay,2,0,2
Black-collared Starling,18,18,36
Black-cowled Oriole,1,0,1
Black-crested Antshrike,3,0,3
Black-crested Bulbul,3,0,3
Black-crested Titmouse,30,26,56
Black-crested Warbler,10,0,10
Black-crowned Antpitta,3,0,3
Black-crowned Night Heron,36,18,54
Black-crowned Tchagra,2,0,2
Black-eared Barbet,3,0,3
Black-faced Antbird,5,0,5
Black-faced Antthrush,8,0,8
Black-faced Brush-Finch,2,0,2
Black-faced Bunting,2,0,2
Black-faced Cotinga,1,0,1
Black-faced Cuckoo-shrike,27,24,51
Black-faced Grassquit,4,0,4
Black-faced Grosbeak,2,0,2
Black-faced Hawk,2,0,2
Black-faced Ibis,5,0,5
Black-faced Monarch,2,0,2
Black-faced Quailfinch,1,0,1
Black-faced Solitaire,4,0,4
Black-faced Tanager,1,0,1
Black-fronted Dotterel,1,0,1
Black-fronted Nunbird,2,0,2
Black-fronted Piping-Guan,1,0,1
Black-fronted Tern,1,0,1
Black-fronted Titi Monkey,7,0,7
Black-fronted White-eye,1,0,1
Black-fronted Wood Quail,1,0,1
Black-goggled Tanager,2,0,2
Black-headed Antthrush,1,0,1
Black-headed Berryeater,1,0,1
Black-headed Brushfinch,2,0,2
Black-headed Bulbul,4,0,4
Black-headed Bunting,7,0,7
Black-headed Grosbeak,196,92,288
Black-headed Gull,94,59,153
Black-headed Oriole,21,21,42
Black-headed Pitta,2,0,2
Black-headed Saltator,33,10,43
Black-headed Trogon,9,11,20
Black-headed Whistler,1,0,1
Black-hooded Antwren,4,0,4
Black-hooded Oriole,3,0,3
Black-horned Tree Cricket,7,0,7
Black-kneed Meadow Katydid,1,0,1
Black-legged Kittiwake,6,0,6
Black-legged Meadow Katydid,45,0,45
Black-legged Seriema,2,0,2
Black-lored Yellowthroat,1,0,1
Black-mandibled Toucan,26,22,48
Black-naped Monarch,19,30,49
Black-naped Oriole,61,25,86
Black-necked Aracari,2,0,2
Black-necked Red-Cotinga,1,0,1
Black-necked Stilt,34,27,61
Black-necked Woodpecker,1,0,1
Black-necklaced Scimitar-Babbler,35,26,61
Black-pencilled Marmoset,5,0,5
Black-polled Yellowthroat,1,0,1
Black-rumped Flameback,2,0,2
Black-rumped Waxbill,1,0,1
Black-sided Robin,1,0,1
Black-spotted Bare-eye,2,0,2
Black-spotted Casque-headed Tree Frog,1,0,1
Black-spotted Frog,37,0,37
Black-spotted Toothed Grasshopper,1,0,1
Black-streaked Puffbird,1,0,1
Black-striped Sparrow,8,0,8
Black-striped Woodcreeper,1,0,1
Black-tailed Antbird,2,0,2
Black-tailed Bumblebee,1,0,1
Black-tailed Gnatcatcher,9,10,19
Black-tailed Godwit,2,0,2
Black-tailed Gull,1,0,1
Black-tailed Prairie Dog,18,9,27
Black-tailed Trainbearer,32,0,32
Black-tailed Trogon,2,0,2
Black-throated Antbird,5,0,5
Black-throated Antshrike,1,0,1
Black-throated Babbler,1,0,1
Black-throated Blue Warbler,180,63,243
Black-throated Bobwhite,1,0,1
Black-throated Canary,2,0,2
Black-throated Flowerpiercer,2,0,2
Black-throated Gray Warbler,76,19,95
Black-throated Green Warbler,281,100,381
Black-throated Grosbeak,6,0,6
Black-throated Honeyeater,1,0,1
Black-throated Huet-huet,6,5,11
Black-throated Laughingthrush,11,8,19
Black-throated Magpie-Jay,8,0,8
Black-throated Mango,1,0,1
Black-throated Robin,1,0,1
Black-throated Saltator,1,0,1
Black-throated Sparrow,38,58,96
Black-throated Spinetail,1,0,1
Black-throated Tit,4,0,4
Black-throated Wren,2,0,2
Black-throated Wren-Babbler,3,0,3
Black-whiskered Vireo,21,17,38
Black-winged Ground-Dove,1,0,1
Black-winged Kite,6,0,6
Black-winged Oriole,1,0,1
Black-winged Stilt,26,22,48
Blackburnian Warbler,112,45,157
Blackcap,1000,100,1100
Blackcap Illadopsis,1,0,1
Blackish Antbird,4,0,4
Blackish Meadow Katydid,3,0,3
Blackish Oystercatcher,1,0,1
Blackish Rail,9,0,9
Blackish Tapaculo,10,0,10
Blackish-blue Seedeater,3,0,3
Blackpoll Warbler,56,33,89
Blacksmith Lapwing,6,5,11
Blacksmith Tree Frog,6,9,15
Bladder Cicada,155,26,181
Blanchard's Cricket Frog,532,99,631
Blaze-winged Parakeet,1,0,1
Bleating Tree Frog,3,0,3
Blond-crested Woodpecker,4,0,4
Bloody Bay Poison Frog,2,0,2
Blue Bird-of-Paradise,1,0,1
Blue Bunting,1,0,1
Blue Crane,3,0,3
Blue Dacnis,1,0,1
Blue Duck,4,0,4
Blue Grosbeak,45,40,85
Blue Ground-Dove,5,0,5
Blue Jay,1000,100,1100
Blue Malkoha,1,0,1
Blue Manakin,22,8,30
Blue Mockingbird,33,15,48
Blue Monkey,4,0,4
Blue Mountains Tree Frog,1,0,1
Blue Rock-Thrush,7,5,12
Blue Tit,498,100,598
Blue Whistling-Thrush,3,0,3
Blue Wildebeest,2,0,2
Blue-and-black Tanager,1,0,1
Blue-and-white Flycatcher,2,0,2
Blue-and-white Mockingbird,8,0,8
Blue-and-white Swallow,5,0,5
Blue-and-yellow Macaw,4,0,4
Blue-and-yellow Tanager,6,0,6
Blue-backed Conebill,1,0,1
Blue-backed Manakin,4,0,4
Blue-banded Pitta,1,0,1
Blue-banded Scratcher,55,14,69
Blue-bearded Bee-eater,1,0,1
Blue-bellied Parrot,1,0,1
Blue-black Grassquit,27,8,35
Blue-black Grosbeak,2,0,2
Blue-breasted Cordonbleu,1,0,1
Blue-breasted Kingfisher,2,0,2
Blue-capped Kingfisher,1,0,1
Blue-capped Manakin,3,0,3
Blue-capped Motmot,5,0,5
Blue-cheeked Bee-eater,2,0,2
Blue-chested Hummingbird,1,0,1
Blue-chinned Sapphire,1,0,1
Blue-crowned Parakeet,8,0,8
Blue-crowned Trogon,8,0,8
Blue-eared Barbet,3,0,3
Blue-eyed Ground-Dove,1,0,1
Blue-faced Honeyeater,8,0,8
Blue-footed Booby,2,0,2
Blue-fronted Parrot,8,12,20
Blue-fronted Parrotlet,1,0,1
Blue-gray Gnatcatcher,238,100,338
Blue-gray Saltator,32,16,48
Blue-gray Tanager,44,0,44
Blue-headed Bee-eater,1,0,1
Blue-headed Parrot,6,0,6
Blue-headed Pitta,1,0,1
Blue-headed Vireo,267,100,367
Blue-headed Wood-Dove,1,0,1
Blue-lored Antbird,1,0,1
Blue-naped Chlorophonia,4,0,4
Blue-necked Tanager,1,0,1
Blue-tailed Bee-eater,2,0,2
Blue-tailed Trogon,1,0,1
Blue-throated Barbet,4,0,4
Blue-throated Hummingbird,2,0,2
Blue-throated Motmot,3,0,3
Blue-throated Parakeet,1,0,1
Blue-throated Sapphire,2,0,2
Blue-winged Kookaburra,2,0,2
Blue-winged Macaw,2,0,2
Blue-winged Mountain-Tanager,2,0,2
Blue-winged Parrotlet,8,0,8
Blue-winged Pitta,4,0,4
Blue-winged Teal,3,0,3
Blue-winged Warbler,70,33,103
Bluethroat,107,87,194
Bluish Flowerpiercer,1,0,1
Bluish-fronted Jacamar,2,0,2
Bluish-slate Antshrike,2,0,2
Blyth's Pipit,2,0,2
Blyth's Reed Warbler,258,100,358
Blyth's Shrike-Babbler,2,0,2
Boat-billed Flycatcher,51,22,73
Boat-billed Heron,1,0,1
Boat-tailed Grackle,72,76,148
Bobcat,11,0,11
Bobolink,166,52,218
Bocage's Tree Frog,1,0,1
Boettger's Colombian Tree Frog,3,0,3
Boettger's dainty frog,22,15,37
Bog Bush-cricket,2,0,2
Bog Katydid,1,0,1
Bogert's Aquatic Tree Frog,1,0,1
Bogota Robber Frog,2,0,2
Bogotá Rail,11,0,11
Bohemian Waxwing,37,81,118
Boie's Frog,1,0,1
Bokermann's Tropical Bullfrog,2,0,2
Bokmakierie,38,17,55
Bold-striped Tit-Babbler,5,0,5
Bolivian Bamboo Rat,1,0,1
Bolivian Red Howler Monkey,1,0,1
Bolivian Tyrannulet,1,0,1
Bonaparte's Gull,8,0,8
Bonnet Macaque,1,0,1
Booted Eagle,3,0,3
Booted Warbler,20,19,39
Boreal Chickadee,40,35,75
Boreal Chorus Frog,740,100,840
Boreal Digging Frog,17,20,37
Boreal Owl,35,7,42
Bornean Black-capped Babbler,1,0,1
Bornean Bristlehead,1,0,1
Bornean Ground-Cuckoo,1,0,1
Bornean Shortwing,1,0,1
Bornean Stubtail,1,0,1
Bornean Treepie,1,0,1
Botteri's Sparrow,10,0,10
Bottle Cicada,3,0,3
Botucatu Tree Frog,3,0,3
Boucard's Wren,1,0,1
Boulenger's Rocket Frog,1,0,1
Bow-winged Grasshopper,39,77,116
Brahminy Kite,4,0,4
Brahminy Starling,1,0,1
Brambling,38,29,67
Bran-colored Flycatcher,6,8,14
Brant,8,0,8
Brassy-breasted Tanager,1,0,1
Brasília Tapaculo,1,0,1
Brazilian Guinea Pig,1,0,1
Brazilian Heart-tongued Frog,1,0,1
Brazilian Ruby,1,0,1
Brazilian Tanager,3,0,3
Brazilian Tinamou,2,0,2
Brewer's Blackbird,27,14,41
Brewer's Mole,1,0,1
Brewer's Sparrow,25,12,37
Bridled Sparrow,1,0,1
Bridled Titmouse,6,7,13
Bright-rumped Attila,32,18,50
Brimley's Chorus Frog,4,0,4
Broad Green-winged Grasshopper,1,0,1
Broad-billed Hummingbird,10,0,10
Broad-billed Motmot,6,0,6
Broad-palmed Frog,3,0,3
Broad-striped Wattle Cicada,1,0,1
Broad-tailed Hummingbird,6,9,15
Broad-tipped Conehead,8,0,8
Broad-tipped Hermit,1,0,1
Broad-winged Bush Katydid,4,0,4
Broad-winged Hawk,109,85,194
Broad-winged tree cricket,7,0,7
Broadley's Tree Frog,1,0,1
Brolga,2,0,2
Bronze Mannikin,5,0,5
Bronze Tree-buzzer,42,11,53
Bronze-olive Pygmy-Tyrant,1,0,1
Bronze-winged Parrot,4,0,4
Bronzed Cowbird,4,0,4
Bronzed Drongo,16,0,16
Brown Armoured Corncricket,1,0,1
Brown Babbler,1,0,1
Brown Boobook,5,100,105
Brown Bunyip,28,41,69
Brown Bush-Warbler,1,0,1
Brown Cacholote,5,0,5
Brown Creeper,273,100,373
Brown Cuckoo-Dove,18,13,31
Brown Falcon,1,0,1
Brown Firetail,24,0,24
Brown Fish-Owl,1,0,1
Brown Fulvetta,1,0,1
Brown Gerygone,8,0,8
Brown Goshawk,1,0,1
Brown Greater Galago,1,0,1
Brown Heath-buzzer,1,0,1
Brown Honeyeater,10,19,29
Brown Howler Monkey,2,0,2
Brown Illadopsis,2,0,2
Brown Jay,17,14,31
Brown Locust,1,0,1
Brown Quail,5,5,10
Brown Reed Frog,1,0,1
Brown Rhinoceros Beetle,1,0,1
Brown Scrub-Robin,3,0,3
Brown Shrike,11,0,11
Brown Sicklebill,1,0,1
Brown Tanager,1,0,1
Brown Thornbill,69,92,161
Brown Thrasher,287,100,387
Brown Tinamou,7,0,7
Brown Toadlet,4,0,4
Brown Treecreeper,2,0,2
Brown Violetear,1,0,1
Brown Wood Owl,5,0,5
Brown-and-yellow Marshbird,5,0,5
Brown-backed Mockingbird,1,0,1
Brown-backed Solitaire,60,40,100
Brown-banded Antpitta,2,0,2
Brown-banded Puffbird,2,0,2
Brown-bellied Swallow,1,0,1
Brown-bordered Snouted Tree Frog,1,0,1
Brown-breasted Kingfisher,1,0,1
Brown-breasted Parakeet,1,0,1
Brown-breasted Pygmy-Tyrant,1,0,1
Brown-capped Redstart,1,0,1
Brown-capped Tyrannulet,1,0,1
Brown-capped Vireo,1,0,1
Brown-chested Martin,8,0,8
Brown-crested Flycatcher,32,25,57
Brown-eared Bulbul,16,70,86
Brown-headed Barbet,4,0,4
Brown-headed Cowbird,185,100,285
Brown-headed Honeyeater,2,0,2
Brown-headed Nuthatch,22,56,78
Brown-headed Thrush,1,0,1
Brown-hooded Gull,1,0,1
Brown-hooded Kingfisher,6,6,12
Brown-hooded Parrot,1,0,1
Brown-rumped Foliage-gleaner,1,0,1
Brown-rumped Tapaculo,1,0,1
Brown-spotted Bush-cricket,1,0,1
Brown-throated Parakeet,5,0,5
Brown-throated Sloth,1,0,1
Brown-throated Sunbird,6,0,6
Brown-winged Schiffornis,1,0,1
